"test_set","model","correctness","correct","incorrect"
"20240419-8","codellama:13b","0.0848","58","626"
"20240419-8","command-r-plus:104b","0.0117","6","505"
"20240419-8","command-r:35b","0.2214","124","436"
"20240419-8","dbrx:132b","0.1257","84","584"
"20240419-8","deepseek-coder:1.3b","0.0030","1","334"
"20240419-8","deepseek-coder:33b","0.1228","84","600"
"20240419-8","deepseek-coder:6.7b","0.0643","22","320"
"20240419-8","deepseek-llm:67b","0.3367","230","453"
"20240419-8","deepseek-llm:7b","0.2143","138","506"
"20240419-8","gemma:2b","0.0782","53","625"
"20240419-8","gemma:2b-v1.1","0.0703","48","635"
"20240419-8","gemma:7b","0.0000","0","674"
"20240419-8","gemma:7b-v1.1","0.0000","0","674"
"20240419-8","llama2-chinese:7b","0.0921","63","621"
"20240419-8","llama2-uncensored:70b","0.0221","15","663"
"20240419-8","llama2-uncensored:7b","0.0664","15","211"
"20240419-8","llama2:13b","0.1391","95","588"
"20240419-8","llama2:70b","0.1640","112","571"
"20240419-8","llama2:7b","0.1859","127","556"
"20240419-8","llama3:70b","0.3720","244","412"
"20240419-8","llama3:8b","0.4064","278","406"
"20240419-8","mistral:7b","0.1347","92","591"
"20240419-8","mistral:v0.2","0.1284","89","604"
"20240419-8","mixtral:8x22b","0.2076","142","542"
"20240419-8","mixtral:8x7b","0.1813","124","560"
"20240419-8","neural-chat:7b","0.0164","11","658"
"20240419-8","openchat:7b","0.0921","21","207"
"20240419-8","orca2:13b","0.1257","86","598"
"20240419-8","orca2:7b","0.1535","35","193"
"20240419-8","phi:2.7b","0.0352","8","219"
"20240419-8","qwen:0.5b","0.0000","0","205"
"20240419-8","qwen:1.8b","0.0000","0","223"
"20240419-8","qwen:14b","0.1520","104","580"
"20240419-8","qwen:32b","0.2924","200","484"
"20240419-8","qwen:4b","0.0000","0","119"
"20240419-8","qwen:72b","0.2738","178","472"
"20240419-8","solar:10.7b","0.1806","123","558"
"20240419-8","starling-lm:7b","0.0356","24","651"
"20240419-8","wizardlm-uncensored:13b","0.0936","64","620"
"20240419-8","wizardlm2:7b","0.0175","12","672"
"20240419-8","wizardlm2:8x22b","0.2621","179","504"
"20240419-8","yi:34b","0.1672","113","563"
"20240419-8","yi:6b","0.1588","107","567"
"20240419-8","zephyr:7b","0.0620","43","650"
